,row,column,radius
0,4956.0,8737.0,65.16016918769778
1,4956.0,6184.0,38.87707573383649
2,4956.0,4471.0,65.16016918769778
3,4956.0,3630.0,65.16016918769778
4,4956.0,2389.0,34.49656015819294
5,4956.0,2145.0,34.49656015819294
6,4956.0,1940.0,34.49656015819294
7,4956.0,1499.0,34.49656015819294
8,4932.0,1118.0,65.16016918769778
9,4931.0,3482.0,65.16016918769778
10,4913.0,8405.0,65.16016918769778
11,4911.0,3351.0,65.16016918769778
12,4901.0,7990.0,65.16016918769778
13,4888.0,8319.0,34.49656015819294
14,4888.0,2015.0,34.49656015819294
15,4887.0,3874.0,34.49656015819294
16,4886.0,2315.0,34.49656015819294
17,4886.0,1405.0,34.49656015819294
18,4882.0,1874.0,34.49656015819294
19,4881.0,3001.0,34.49656015819294
20,4881.0,1590.0,34.49656015819294
21,4880.0,1738.0,34.49656015819294
22,4880.0,1271.0,34.49656015819294
23,4880.0,978.0,34.49656015819294
24,4876.0,2173.0,34.49656015819294
25,4875.0,3776.0,34.49656015819294
26,4875.0,2444.0,34.49656015819294
27,4874.0,2895.0,34.49656015819294
28,4873.0,8550.0,34.49656015819294
29,4873.0,4526.0,43.257591309480034
30,4873.0,4257.0,38.87707573383649
31,4871.0,3991.0,34.49656015819294
32,4869.0,7893.0,34.49656015819294
33,4869.0,7825.0,34.49656015819294
34,4869.0,4098.0,34.49656015819294
35,4868.0,5528.0,38.87707573383649
36,4868.0,3189.0,34.49656015819294
37,4868.0,2759.0,34.49656015819294
38,4868.0,2607.0,34.49656015819294
39,4865.0,8254.0,34.49656015819294
40,4864.0,6575.0,34.49656015819294
41,4864.0,5327.0,38.87707573383649
42,4864.0,3064.0,34.49656015819294
43,4863.0,7349.0,34.49656015819294
44,4862.0,7731.0,34.49656015819294
45,4862.0,4196.0,34.49656015819294
46,4861.0,7472.0,34.49656015819294
47,4859.0,8135.0,34.49656015819294
48,4859.0,5800.0,34.49656015819294
49,4859.0,3612.0,34.49656015819294
50,4859.0,794.0,34.49656015819294
51,4858.0,5924.0,34.49656015819294
52,4858.0,5440.0,34.49656015819294
53,4858.0,4382.0,34.49656015819294
54,4857.0,6103.0,34.49656015819294
55,4856.0,6288.0,34.49656015819294
56,4856.0,4971.0,43.257591309480034
57,4855.0,7594.0,34.49656015819294
58,4855.0,4659.0,34.49656015819294
59,4854.0,6413.0,34.49656015819294
60,4852.0,7238.0,38.87707573383649
61,4850.0,5674.0,34.49656015819294
62,4845.0,6743.0,34.49656015819294
63,4841.0,6667.0,34.49656015819294
64,4837.0,7095.0,34.49656015819294
65,4834.0,629.0,34.49656015819294
66,4833.0,4812.0,34.49656015819294
67,4832.0,9162.0,43.257591309480034
68,4832.0,5114.0,34.49656015819294
69,4830.0,8995.0,65.16016918769778
70,4808.0,6892.0,34.49656015819294
71,4788.0,1043.0,34.49656015819294
72,4785.0,1208.0,38.87707573383649
73,4784.0,1551.0,34.49656015819294
74,4784.0,879.0,34.49656015819294
75,4781.0,2993.0,34.49656015819294
76,4779.0,3161.0,34.49656015819294
77,4779.0,1858.0,34.49656015819294
78,4779.0,722.0,34.49656015819294
79,4776.0,1380.0,34.49656015819294
80,4774.0,3328.0,34.49656015819294
81,4774.0,1982.0,34.49656015819294
82,4773.0,540.0,34.49656015819294
83,4772.0,2155.0,34.49656015819294
84,4771.0,7669.0,34.49656015819294
85,4771.0,2318.0,38.87707573383649
86,4770.0,8133.0,34.49656015819294
87,4767.0,8462.0,34.49656015819294
88,4767.0,2488.0,34.49656015819294
89,4765.0,8303.0,34.49656015819294
90,4764.0,4392.0,34.49656015819294
91,4764.0,3822.0,34.49656015819294
92,4763.0,2825.0,34.49656015819294
93,4762.0,2659.0,34.49656015819294
94,4761.0,5400.0,34.49656015819294
95,4759.0,6195.0,34.49656015819294
96,4759.0,3487.0,34.49656015819294
97,4757.0,7517.0,34.49656015819294
98,4757.0,7302.0,34.49656015819294
99,4756.0,7836.0,34.49656015819294
100,4755.0,6051.0,34.49656015819294
101,4755.0,3654.0,34.49656015819294
102,4754.0,7171.0,34.49656015819294
103,4754.0,5896.0,34.49656015819294
104,4754.0,4727.0,34.49656015819294
105,4754.0,4070.0,34.49656015819294
106,4753.0,5728.0,38.87707573383649
107,4753.0,4233.0,34.49656015819294
108,4752.0,8000.0,34.49656015819294
109,4752.0,5224.0,34.49656015819294
110,4752.0,4561.0,34.49656015819294
111,4751.0,6678.0,34.49656015819294
112,4751.0,6369.0,43.257591309480034
113,4749.0,5553.0,34.49656015819294
114,4749.0,4872.0,34.49656015819294
115,4747.0,8896.0,34.49656015819294
116,4745.0,7005.0,34.49656015819294
117,4744.0,5076.0,34.49656015819294
118,4741.0,6815.0,34.49656015819294
119,4712.0,9027.0,34.49656015819294
120,4705.0,9310.0,52.018622460767126
121,4704.0,608.0,34.49656015819294
122,4699.0,1306.0,34.49656015819294
123,4699.0,274.0,34.49656015819294
124,4697.0,1071.0,34.49656015819294
125,4694.0,1651.0,34.49656015819294
126,4694.0,929.0,38.87707573383649
127,4692.0,751.0,34.49656015819294
128,4688.0,2019.0,34.49656015819294
129,4686.0,1796.0,38.87707573383649
130,4682.0,2364.0,34.49656015819294
131,4682.0,424.0,34.49656015819294
132,4680.0,1467.0,34.49656015819294
133,4679.0,2883.0,34.49656015819294
134,4679.0,2538.0,34.49656015819294
135,4678.0,3234.0,34.49656015819294
136,4676.0,3552.0,34.49656015819294
137,4676.0,3373.0,34.49656015819294
138,4673.0,2197.0,38.87707573383649
139,4671.0,7636.0,34.49656015819294
140,4667.0,8149.0,34.49656015819294
141,4666.0,4538.0,34.49656015819294
142,4666.0,2729.0,34.49656015819294
143,4665.0,4043.0,34.49656015819294
144,4664.0,8310.0,34.49656015819294
145,4664.0,5018.0,34.49656015819294
146,4663.0,4719.0,34.49656015819294
147,4663.0,4224.0,34.49656015819294
148,4662.0,7317.0,34.49656015819294
149,4660.0,6211.0,34.49656015819294
